immagine,nome,biografia
https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3858d6f2131051b83a249c.png,Mauro Guidi,"Un amore che non pretende, non impone, non forza, semplicemente resta. Maver e Serine si incontrano nel cuore della notte, tra i corridoi silenziosi di un lavoro che non è la loro vita, ma che per caso diventa il luogo dove le loro esistenze si scontrano e lentamente si intrecciano. Non è un colpo di fulmine. È una gravità lenta, inesorabile, fatta di sguardi rubati, parole non dette e silenzi che parlano più di mille promesse."
https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3858d6f2131051b83a249c.png,Maurizio Guida,"Un amore che non pretende, non impone, non forza, semplicemente resta. Maver e Serine si incontrano nel cuore della notte, tra i corridoi silenziosi di un lavoro che non è la loro vita, ma che per caso diventa il luogo dove le loro esistenze si scontrano e lentamente si intrecciano. Non è un colpo di fulmine. È una gravità lenta, inesorabile, fatta di sguardi rubati, parole non dette e silenzi che parlano più di mille promesse."
https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3858d6f2131051b83a249c.png,Mario Gida,"Un amore che non pretende, non impone, non forza, semplicemente resta. Maver e Serine si incontrano nel cuore della notte, tra i corridoi silenziosi di un lavoro che non è la loro vita, ma che per caso diventa il luogo dove le loro esistenze si scontrano e lentamente si intrecciano. Non è un colpo di fulmine. È una gravità lenta, inesorabile, fatta di sguardi rubati, parole non dette e silenzi che parlano più di mille promesse."
https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3858d6f2131051b83a249c.png,Marco Guda,"Un amore che non pretende, non impone, non forza, semplicemente resta. Maver e Serine si incontrano nel cuore della notte, tra i corridoi silenziosi di un lavoro che non è la loro vita, ma che per caso diventa il luogo dove le loro esistenze si scontrano e lentamente si intrecciano. Non è un colpo di fulmine. È una gravità lenta, inesorabile, fatta di sguardi rubati, parole non dette e silenzi che parlano più di mille promesse."
https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3858d6f2131051b83a249c.png,Mauro Guidi,"Un amore che non pretende, non impone, non forza, semplicemente resta. Maver e Serine si incontrano nel cuore della notte, tra i corridoi silenziosi di un lavoro che non è la loro vita, ma che per caso diventa il luogo dove le loro esistenze si scontrano e lentamente si intrecciano. Non è un colpo di fulmine. È una gravità lenta, inesorabile, fatta di sguardi rubati, parole non dette e silenzi che parlano più di mille promesse."
https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3858d6f2131051b83a249c.png,Maurizio Guida,"Un amore che non pretende, non impone, non forza, semplicemente resta. Maver e Serine si incontrano nel cuore della notte, tra i corridoi silenziosi di un lavoro che non è la loro vita, ma che per caso diventa il luogo dove le loro esistenze si scontrano e lentamente si intrecciano. Non è un colpo di fulmine. È una gravità lenta, inesorabile, fatta di sguardi rubati, parole non dette e silenzi che parlano più di mille promesse."
https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3858d6f2131051b83a249c.png,Mario Gida,"Un amore che non pretende, non impone, non forza, semplicemente resta. Maver e Serine si incontrano nel cuore della notte, tra i corridoi silenziosi di un lavoro che non è la loro vita, ma che per caso diventa il luogo dove le loro esistenze si scontrano e lentamente si intrecciano. Non è un colpo di fulmine. È una gravità lenta, inesorabile, fatta di sguardi rubati, parole non dette e silenzi che parlano più di mille promesse."
https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3858d6f2131051b83a249c.png,Marco Guda,"Un amore che non pretende, non impone, non forza, semplicemente resta. Maver e Serine si incontrano nel cuore della notte, tra i corridoi silenziosi di un lavoro che non è la loro vita, ma che per caso diventa il luogo dove le loro esistenze si scontrano e lentamente si intrecciano. Non è un colpo di fulmine. È una gravità lenta, inesorabile, fatta di sguardi rubati, parole non dette e silenzi che parlano più di mille promesse."
https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3858d6f2131051b83a249c.png,Mauro Guidi,"Un amore che non pretende, non impone, non forza, semplicemente resta. Maver e Serine si incontrano nel cuore della notte, tra i corridoi silenziosi di un lavoro che non è la loro vita, ma che per caso diventa il luogo dove le loro esistenze si scontrano e lentamente si intrecciano. Non è un colpo di fulmine. È una gravità lenta, inesorabile, fatta di sguardi rubati, parole non dette e silenzi che parlano più di mille promesse."
https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3858d6f2131051b83a249c.png,Maurizio Guida,"Un amore che non pretende, non impone, non forza, semplicemente resta. Maver e Serine si incontrano nel cuore della notte, tra i corridoi silenziosi di un lavoro che non è la loro vita, ma che per caso diventa il luogo dove le loro esistenze si scontrano e lentamente si intrecciano. Non è un colpo di fulmine. È una gravità lenta, inesorabile, fatta di sguardi rubati, parole non dette e silenzi che parlano più di mille promesse."
https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3858d6f2131051b83a249c.png,Mario Gida,"Un amore che non pretende, non impone, non forza, semplicemente resta. Maver e Serine si incontrano nel cuore della notte, tra i corridoi silenziosi di un lavoro che non è la loro vita, ma che per caso diventa il luogo dove le loro esistenze si scontrano e lentamente si intrecciano. Non è un colpo di fulmine. È una gravità lenta, inesorabile, fatta di sguardi rubati, parole non dette e silenzi che parlano più di mille promesse."
https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3858d6f2131051b83a249c.png,Marco Guda,"Un amore che non pretende, non impone, non forza, semplicemente resta. Maver e Serine si incontrano nel cuore della notte, tra i corridoi silenziosi di un lavoro che non è la loro vita, ma che per caso diventa il luogo dove le loro esistenze si scontrano e lentamente si intrecciano. Non è un colpo di fulmine. È una gravità lenta, inesorabile, fatta di sguardi rubati, parole non dette e silenzi che parlano più di mille promesse."
